account_id,futures_maker_fee_rate,futures_taker_fee_rate,address,update_time
0xa0d6a4fd2aaebc8dcd033776d8c958914caed71e0d6ba022f8f64133a3418d64,0.0001,0.0004,0x471fed9c6ecff92bfb0a54b639e0af51d9b442f8,2026-01-07 01:41:34
0x2d6dee104280321affcd3ee3b1c5a652c37f1fef8a67d94bae110dfa0752fefb,0.0002,0.00055,0xffd77f22606020cb02ad61e5eff886d11f0f85e2,2026-01-07 01:41:34
0xa94da9379157afe39ac59a521c89b6acb2cb2c117a6d651fcb93cd2f53f55f5a,0.0002,0.00055,0xffd77f22606020cb02ad61e5eff886d11f0f85e2,2026-01-07 01:41:34
0xb64ee16bd93d54031894760da0c6acb9df48b666ace6fcc73d6c9b0abe1c0b9c,0.0002,0.00055,0xffd77f22606020cb02ad61e5eff886d11f0f85e2,2026-01-07 01:41:34
0x045ac14319a7c3f7c36a67753e7ccac57ed310314e05e75e442d26152a0e0b27,0.0002,0.00055,0xffd77f22606020cb02ad61e5eff886d11f0f85e2,2026-01-07 01:41:34
0xe280999fd517deacfe6b6efd715757877ae8dc835b285bdda94135115ab44d39,0.0002,0.00055,0x4ef5eb442339a5e80cebd63501c0784a983bc30f,2026-01-07 01:41:34
0x7c589c6ddeb98c951bf035b7936649d30e93ffb67a5df0949ee74c60578407f1,0.0002,0.00055,0xf9afb84a79e356db8a1d68fb82fda309ba1f2b79,2026-01-07 01:41:34
0x7e8b7fae01953ae51b28f3ded1c79aa042e20c071106ea12aa8d4430f205ac80,0.0002,0.00055,E2E7DBYQNhWyrkehJ6CzwmZaEyohFCud3MibnYRKwrUS,2026-01-07 01:41:34
0x420ccc8805acf929a4230df745d91821fe3f380457c040b3e112ac2a4e96a262,0.0002,0.00055,0x6c110236087c6e8449ba2d88a095b6d0788c5a02,2026-01-07 01:41:34
0xaaa8491a70932e62b302e37260e8416aad3d480d56f499ee2ea64e8004212f89,0.0002,0.00055,0xbe127c4bf7f4f937033f24dd3e8e4f81fc4797ba,2026-01-07 01:41:34
0xd110a6eb2af2c06905cf2f5c6d90dbfce18d42b3c4340de7eeb3c0b41c9fbeb7,0.0002,0.00055,HPS5Ekfgntwq2eow9EF1Y34LUMviy5RZ1oFST4KJhzho,2026-01-07 01:41:34
0x556d7a8ba1321e73660e000691f7fede794046d38e814a08f6efdf357695ed7e,0.0002,0.00055,0x7acdf124e10ab537306dd22164aa82c51f26e7e2,2026-01-07 01:41:34
0x4de44897a9bdd5274318b2d761e1c1bd8d5c1fb2b4754af8369c10585bbdf2bb,0.0002,0.00055,0x7c156f9bf7242aae13812aa874a1cdc293b672bb,2026-01-07 01:41:34
0x618de5dcea9516d7048c49db24cdf5d42177f3250bb1cd8658fcebaf93812992,0.0002,0.00055,0xd7bc97f0edb3b04e1604a546cef52f9ff4edfe71,2026-01-07 01:41:34
0xa622bf00ee34428f32216fc4afcdf0b9ee98169f9958166ed118a3ca4173df00,0.0002,0.00055,0x8dc7aa9018157274966e37e38b9beb184880aeed,2026-01-07 01:41:34
0xfa8a4843e959f817af6ba454c26bf449a5f1b7341b6013d063543b1a7a40a2c0,0.0002,0.00055,2oVXuoHVzXfq24WrBxQi7QQDAmW9f9qCNVB2iiGVbsmv,2026-01-07 01:41:34
0x170661a53f6651c4c1bc192e4ef14070cd2b7ed66f287d2cd176fc644fcdc5cb,0.0002,0.00055,0x1efe74146f516d4abef65f175151c72dfcdbb0a6,2026-01-07 01:41:34
0xc44bd5ab9e665e7294264b5c5dfb34f8787402eab7dac6cf3d8ebb615ae21712,0.0002,0.00055,0xaef81f1773a1e264c301138d92ae0ab9bc85924b,2026-01-07 01:41:34
0x69336167c0c9fdbd65bb2bf6862843d9f72fafda7848726d62f4c9f864042dd2,0.0002,0.00055,0xebc1f745681ba71688c3c04711104ce7e5c7772a,2026-01-07 01:41:34
0x18934bffc155511af9de707e68a2cd7825c5a38e1e08a01b4e93c179fd0e33e3,0.0002,0.00055,0x2b90c1dcfc676be2eb2ffaac1b37ac5f5c04662e,2026-01-07 01:41:34
0x8719364140f0b92c0ed3a589e5f28a61c0f604866b95db93c4d860a6757b44e8,0.0002,0.00055,0x9c6d0ab6ff426f09c6a1b8fe6bae6c1920797e9b,2026-01-07 01:41:34
0x90846d9654e5564cb76fb98196eb9999b56448b9b8b52ae2ba0258008b7a7907,0.0002,0.00055,0x969decb51b1ba995ba9644f08f30c674a31f78fd,2026-01-07 01:41:34
0xa8f8b45efdab11450cd95855844f8d303a498273b383e6467a70ba5d2a480fde,0.0002,0.00055,0xb61ca57fc827b352132a6c979957785a87db54fa,2026-01-07 01:41:34
0x3ca1e9c9ea03b511dc02c0fe3ae0ca803769a01a0d7b55810d5616047e831045,0.0002,0.00055,0xac70eb35b56b015fc4a3442243d89915f59d0d1c,2026-01-07 01:41:34
0xc4fbd6754aa6bfe2fab1dfcdb4c583792d9c0a1d4b761424930d0cf074f2db9e,0.0002,0.00055,0x620dab9af8e5a9aa1c06b56f92c49771305d412d,2026-01-07 01:41:34
0xd64ffb8796a4874796d60a22fb10b2ee8b8e2806475c3fc796900a28f1f0c20d,0.0002,0.00055,0x2496f54b6c86088c6734351d9f274e14adcd1f93,2026-01-07 01:41:34
0xcded1051cdfbb7c4f32b2260943392cd1d64bde0259d54b84d38c16a82b6d699,0.0002,0.00055,0x75b8a5262b951d07716feb9f6cf64750ccdb2eea,2026-01-07 01:41:34
0xc8c622f8e34d73cbc2402a6f5faf203a6ad1156311cfdcd41c92a817c9a0f2e1,0.0002,0.00055,0xaed2a948892475f800a337427b3275d190ea3e94,2026-01-07 01:41:34
0xf00430b61fcd1e90e54bba82828d41f42e637cf8e6f4070d8bcb2a541765bc02,0.0002,0.00055,0x11be623c0be0c2dd1a5c1292d0a67f6ecee74a1a,2026-01-07 01:41:34
0xc449eb868de492182ae99455dd48030fcb6d744d9bec92a730c74a4e5e2f458a,0.0002,0.00055,0x216fd188ab3a8add534ec6261de66d9b0cfac53e,2026-01-07 01:41:34
